id,name,category,chemical_formula,color,hardness_mohs,luster,streak,cleavage,fracture,specific_gravity,crystal_system,formation_type,primary_elements,purity_percentage,quality_grade,commercial_value,industrial_uses,mining_region,market_value_usd_per_ton,extraction_difficulty,environmental_impact
13,Goethite,ore,FeO(OH),yellow-brown,5.5,adamantine,yellow-brown,perfect,uneven,4.3,orthorhombic,sedimentary,"Fe,O,H",78,A3,high,"iron pigment,steel",Minas Gerais Brazil,75,moderate,low
14,Goethite,ore,FeO(OH),dark-brown,5.5,silky,yellow,perfect,uneven,4.0,orthorhombic,sedimentary,"Fe,O,H",58,B2,medium,iron pigment,Western Australia,50,moderate,low
15,Goethite,ore,FeO(OH),orange,5,dull,yellow,perfect,uneven,3.7,orthorhombic,sedimentary,"Fe,O,H",38,C1,low,industrial pigment,Alabama USA,28,difficult,low
16,Siderite,ore,FeCO3,yellow-brown,3.5,vitreous,white,perfect,uneven,3.96,trigonal,sedimentary,"Fe,C,O",82,A3,high,"iron production,flux",Styria Austria,68,moderate,moderate
17,Siderite,ore,FeCO3,gray-brown,3.5,vitreous,white,perfect,uneven,3.8,trigonal,sedimentary,"Fe,C,O",62,B2,medium,iron production,Bilbao Spain,52,moderate,moderate
18,Siderite,ore,FeCO3,brown,3.5,dull,white,perfect,uneven,3.6,trigonal,sedimentary,"Fe,C,O",42,C1,low,low-grade iron,Cornwall UK,30,difficult,moderate
19,Chalcopyrite,ore,CuFeS2,brass-yellow,3.5,metallic,greenish-black,none,uneven,4.2,tetragonal,hydrothermal,"Cu,Fe,S",96,A1,premium,"copper production,electronics",Chuquicamata Chile,8500,moderate,high
20,Chalcopyrite,ore,CuFeS2,yellow,3.5,metallic,greenish-black,none,uneven,4.2,tetragonal,hydrothermal,"Cu,Fe,S",82,A3,high,copper production,Bingham Canyon USA,7200,moderate,high
21,Chalcopyrite,ore,CuFeS2,tarnished-yellow,3.5,metallic,greenish,none,uneven,4.0,tetragonal,hydrothermal,"Cu,Fe,S",63,B2,medium,copper extraction,Katanga DRC,5500,difficult,high
22,Malachite,ore,Cu2(CO3)(OH)2,green,3.5,vitreous,pale-green,perfect,uneven,4.0,monoclinic,hydrothermal,"Cu,C,O,H",88,A2,premium,"copper,jewelry,pigment",Katanga DRC,9000,moderate,moderate
23,Malachite,ore,Cu2(CO3)(OH)2,bright-green,3.5,silky,pale-green,perfect,uneven,3.9,monoclinic,hydrothermal,"Cu,C,O,H",68,B1,medium,copper extraction,Ural Russia,7500,moderate,moderate
24,Malachite,ore,Cu2(CO3)(OH)2,pale-green,3.5,dull,green,perfect,uneven,3.7,monoclinic,hydrothermal,"Cu,C,O,H",48,B3,low,ornamental,Arizona USA,4000,difficult,moderate
25,Azurite,ore,Cu3(CO3)2(OH)2,deep-blue,3.5,vitreous,blue,perfect,conchoidal,3.8,monoclinic,hydrothermal,"Cu,C,O,H",85,A2,premium,"copper,pigment,jewelry",Chessy France,8800,moderate,moderate
26,Azurite,ore,Cu3(CO3)2(OH)2,azure-blue,3.5,vitreous,blue,perfect,conchoidal,3.7,monoclinic,hydrothermal,"Cu,C,O,H",62,B2,medium,copper extraction,Bisbee USA,6000,difficult,moderate
27,Bornite,ore,Cu5FeS4,purple-bronze,3,metallic,grayish-black,none,uneven,5.1,cubic,hydrothermal,"Cu,Fe,S",90,A2,premium,copper production,Butte Montana USA,8200,moderate,high
28,Bornite,ore,Cu5FeS4,iridescent,3,metallic,grayish,none,uneven,4.9,cubic,hydrothermal,"Cu,Fe,S",67,B1,medium,copper extraction,Cornwall UK,6800,moderate,high
29,Chalcocite,ore,Cu2S,gray-black,2.5,metallic,gray-black,none,conchoidal,5.6,monoclinic,hydrothermal,"Cu,S",97,A1,premium,high-grade copper,Morenci USA,9500,easy,high
30,Chalcocite,ore,Cu2S,dark-gray,2.5,metallic,gray,none,conchoidal,5.5,monoclinic,hydrothermal,"Cu,S",79,A3,high,copper production,Zambia,8000,easy,high
31,Chalcocite,ore,Cu2S,gray,2.5,submetallic,gray,none,conchoidal,5.3,monoclinic,hydrothermal,"Cu,S",55,B2,medium,copper extraction,Rio Tinto Spain,5000,moderate,high
32,Covellite,ore,CuS,indigo-blue,1.5,metallic,lead-gray,perfect,uneven,4.6,hexagonal,hydrothermal,"Cu,S",92,A2,premium,copper production,Butte USA,8700,moderate,high
33,Covellite,ore,CuS,dark-blue,1.5,metallic,gray,perfect,uneven,4.4,hexagonal,hydrothermal,"Cu,S",68,B1,medium,copper processing,Sardinia Italy,6500,moderate,high
34,Native Gold,ore,Au,yellow,2.5,metallic,yellow,none,hackly,19.3,cubic,hydrothermal,Au,99,A1,premium,"jewelry,electronics,currency",Witwatersrand South Africa,60000000,moderate,high
35,Native Gold,ore,Au,pale-yellow,2.5,metallic,yellow,none,hackly,17.5,cubic,hydrothermal,Au,90,A2,premium,"jewelry,electronics",Klondike Canada,55000000,difficult,high
36,Native Gold,ore,Au,yellow-alloy,2.5,metallic,yellow,none,hackly,15.2,cubic,hydrothermal,Au,72,B1,high,gold extraction,Nevada USA,45000000,difficult,high
37,Native Gold,ore,Au,gold-alloy,2.5,metallic,yellow,none,hackly,12.0,cubic,hydrothermal,Au,48,B3,low,gold recovery,Papua New Guinea,30000000,very-difficult,high
38,Calaverite,ore,AuTe2,silver-yellow,2.5,metallic,yellowish,none,uneven,9.2,monoclinic,hydrothermal,"Au,Te",85,A2,premium,"gold,tellurium production",Kalgoorlie Australia,50000000,difficult,high
39,Calaverite,ore,AuTe2,bronze,2.5,metallic,yellow,none,uneven,8.8,monoclinic,hydrothermal,"Au,Te",65,B1,medium,gold extraction,Cripple Creek USA,38000000,difficult,high
40,Sylvanite,ore,"(Ag,Au)Te2",silver,1.5,metallic,gray,none,perfect,8.0,monoclinic,hydrothermal,"Au,Ag,Te",88,A2,premium,"gold,silver,tellurium",Transylvania Romania,48000000,difficult,high
41,Sylvanite,ore,"(Ag,Au)Te2",silver-gray,1.5,metallic,gray,none,perfect,7.6,monoclinic,hydrothermal,"Au,Ag,Te",64,B2,medium,gold extraction,Cripple Creek USA,35000000,very-difficult,high
42,Petzite,ore,Ag3AuTe2,steel-gray,2.5,metallic,gray,none,uneven,9.1,cubic,hydrothermal,"Ag,Au,Te",91,A2,premium,"gold,silver production",Transylvania Romania,52000000,difficult,high
43,Petzite,ore,Ag3AuTe2,gray,2.5,metallic,gray,none,uneven,8.7,cubic,hydrothermal,"Ag,Au,Te",66,B1,medium,"gold,silver extraction",Colorado USA,40000000,very-difficult,high
44,Argentite,ore,Ag2S,lead-gray,2.5,metallic,lead-gray,none,uneven,7.2,cubic,hydrothermal,"Ag,S",97,A1,premium,"silver production,photography",Zacatecas Mexico,28000,easy,high
45,Argentite,ore,Ag2S,dark-gray,2.5,metallic,gray,none,uneven,7.0,cubic,hydrothermal,"Ag,S",82,A3,high,silver extraction,Potosi Bolivia,22000,moderate,high
46,Argentite,ore,Ag2S,gray,2.5,metallic,gray,none,uneven,6.8,cubic,hydrothermal,"Ag,S",58,B2,medium,silver processing,Nevada USA,15000,moderate,high
47,Native Silver,ore,Ag,silver-white,2.5,metallic,silver-white,none,hackly,10.5,cubic,hydrothermal,Ag,99,A1,premium,"jewelry,electronics,currency",Cobalt Ontario Canada,35000,easy,moderate
48,Native Silver,ore,Ag,gray-white,2.5,metallic,silver,none,hackly,10.0,cubic,hydrothermal,Ag,88,A2,premium,"jewelry,electronics",Kongsberg Norway,30000,moderate,moderate
49,Pyrargyrite,ore,Ag3SbS3,dark-red,2.5,adamantine,purplish-red,none,conchoidal,5.8,trigonal,hydrothermal,"Ag,Sb,S",86,A2,premium,"silver,antimony",Freiberg Germany,25000,difficult,high
50,Pyrargyrite,ore,Ag3SbS3,red-gray,2.5,adamantine,red,none,conchoidal,5.6,trigonal,hydrothermal,"Ag,Sb,S",62,B2,medium,silver extraction,Atacama Chile,18000,difficult,high
51,Bauxite,ore,Al(OH)3,red-brown,1.5,dull,white,none,uneven,2.6,amorphous,sedimentary,"Al,O,H",95,A1,premium,aluminum production,Weipa Australia,65,easy,high
52,Bauxite,ore,Al(OH)3,yellow,1.5,dull,white,none,uneven,2.5,amorphous,sedimentary,"Al,O,H",80,A3,high,aluminum production,Guinea West Africa,55,easy,high
53,Bauxite,ore,Al(OH)3,gray-brown,1.5,dull,white,none,uneven,2.4,amorphous,sedimentary,"Al,O,H",60,B2,medium,aluminum processing,Jamaica,42,moderate,high
54,Bauxite,ore,Al(OH)3,pale-yellow,1.5,dull,white,none,uneven,2.3,amorphous,sedimentary,"Al,O,H",40,C1,low,low-grade aluminum,Suriname,28,moderate,high
55,Gibbsite,ore,Al(OH)3,white,2.5,vitreous,white,perfect,uneven,2.4,monoclinic,sedimentary,"Al,O,H",92,A2,premium,"aluminum oxide,refractories",Weipa Australia,70,moderate,moderate
56,Gibbsite,ore,Al(OH)3,gray,2.5,vitreous,white,perfect,uneven,2.3,monoclinic,sedimentary,"Al,O,H",68,B1,medium,aluminum production,Jamaica,52,moderate,moderate
57,Boehmite,ore,AlO(OH),white,3.5,vitreous,white,perfect,conchoidal,3.0,orthorhombic,sedimentary,"Al,O,H",88,A2,premium,"aluminum oxide,abrasives",Guinea,75,moderate,moderate
58,Boehmite,ore,AlO(OH),pale-gray,3.5,vitreous,white,perfect,conchoidal,2.9,orthorhombic,sedimentary,"Al,O,H",65,B1,medium,aluminum extraction,Hungary,58,moderate,moderate
59,Diaspore,ore,AlO(OH),white,6.5,vitreous,white,perfect,conchoidal,3.4,orthorhombic,metamorphic,"Al,O,H",90,A2,premium,"refractory material,abrasives",Turkey,85,moderate,low
60,Diaspore,ore,AlO(OH),gray,6.5,vitreous,white,perfect,conchoidal,3.3,orthorhombic,metamorphic,"Al,O,H",70,B1,high,abrasive applications,China,65,moderate,low
61,Galena,ore,PbS,lead-gray,2.5,metallic,lead-gray,perfect,uneven,7.6,cubic,hydrothermal,"Pb,S",98,A1,premium,"lead production,silver byproduct",Broken Hill Australia,2200,easy,high
62,Galena,ore,PbS,silver-gray,2.5,metallic,gray,perfect,uneven,7.5,cubic,hydrothermal,"Pb,S",85,A2,premium,"lead,silver production",Joplin Missouri USA,1900,easy,high
63,Galena,ore,PbS,gray,2.5,metallic,gray,perfect,uneven,7.2,cubic,hydrothermal,"Pb,S",65,B1,medium,lead extraction,Coeur d Alene USA,1500,moderate,high
64,Galena,ore,PbS,dark-gray,2.5,metallic,gray,perfect,uneven,6.9,cubic,hydrothermal,"Pb,S",45,B3,low,lead processing,Sardinia Italy,1000,moderate,high
65,Sphalerite,ore,ZnS,yellow-brown,3.5,resinous,white,perfect,conchoidal,4.0,cubic,hydrothermal,"Zn,S",96,A1,premium,"zinc production,electronics",Tara Ireland,3500,moderate,high
66,Sphalerite,ore,ZnS,brown,3.5,resinous,pale-yellow,perfect,conchoidal,3.9,cubic,hydrothermal,"Zn,S",80,A3,high,zinc production,Red Dog Alaska,3000,moderate,high
67,Sphalerite,ore,ZnS,black,3.5,submetallic,brown,perfect,conchoidal,3.7,cubic,hydrothermal,"Zn,S",62,B2,medium,zinc extraction,Tri-State USA,2200,moderate,high
68,Anglesite,ore,PbSO4,white,2.75,adamantine,white,perfect,conchoidal,6.3,orthorhombic,sedimentary,"Pb,S,O",82,A3,high,lead production,Tsumeb Namibia,1800,moderate,moderate
69,Anglesite,ore,PbSO4,gray,2.75,vitreous,white,perfect,conchoidal,6.1,orthorhombic,sedimentary,"Pb,S,O",58,B2,medium,lead extraction,Broken Hill Australia,1200,difficult,moderate
70,Cerussite,ore,PbCO3,white,3,adamantine,white,perfect,conchoidal,6.6,orthorhombic,sedimentary,"Pb,C,O",88,A2,premium,lead production,Broken Hill Australia,2000,moderate,moderate
71,Cerussite,ore,PbCO3,gray-white,3,adamantine,white,perfect,conchoidal,6.4,orthorhombic,sedimentary,"Pb,C,O",64,B2,medium,lead extraction,Tsumeb Namibia,1400,difficult,moderate
72,Pentlandite,ore,"(Fe,Ni)9S8",bronze-yellow,3.5,metallic,bronze,perfect,conchoidal,4.8,cubic,igneous,"Ni,Fe,S",95,A1,premium,nickel production,Sudbury Canada,15000,moderate,high
73,Pentlandite,ore,"(Fe,Ni)9S8",yellow,3.5,metallic,bronze,perfect,conchoidal,4.6,cubic,igneous,"Ni,Fe,S",75,A3,high,nickel extraction,Norilsk Russia,12000,moderate,high
74,Pentlandite,ore,"(Fe,Ni)9S8",bronze,3.5,metallic,bronze,perfect,conchoidal,4.4,cubic,igneous,"Ni,Fe,S",55,B2,medium,nickel processing,Kambalda Australia,8500,difficult,high
75,Millerite,ore,NiS,brass-yellow,3,metallic,greenish-black,perfect,uneven,5.3,trigonal,hydrothermal,"Ni,S",90,A2,premium,"nickel,sulfuric acid",Thompson Canada,14000,difficult,high
76,Millerite,ore,NiS,yellow-green,3,metallic,green,perfect,uneven,5.1,trigonal,hydrothermal,"Ni,S",65,B1,medium,nickel extraction,Wales UK,10000,difficult,high
77,Garnierite,ore,"(Ni,Mg)3Si2O5(OH)4",green,2,waxy,pale-green,none,uneven,2.6,amorphous,sedimentary,"Ni,Mg,Si,O",78,A3,high,nickel production,New Caledonia,13000,moderate,moderate
78,Garnierite,ore,"(Ni,Mg)3Si2O5(OH)4",pale-green,2,waxy,green,none,uneven,2.4,amorphous,sedimentary,"Ni,Mg,Si,O",55,B2,medium,nickel extraction,Philippines,9000,moderate,moderate
79,Chromite,ore,FeCr2O4,black,5.5,metallic,dark-brown,none,uneven,4.6,cubic,igneous,"Fe,Cr,O",97,A1,premium,"ferrochrome,stainless steel",Bushveld South Africa,350,easy,moderate
80,Chromite,ore,FeCr2O4,dark-brown,5.5,submetallic,brown,none,uneven,4.4,cubic,igneous,"Fe,Cr,O",78,A3,high,chromium production,Kazakhstan,280,moderate,moderate
81,Chromite,ore,FeCr2O4,brown,5.5,dull,brown,none,uneven,4.2,cubic,igneous,"Fe,Cr,O",58,B2,medium,chrome processing,Turkey,200,moderate,moderate
82,Pyrolusite,ore,MnO2,steel-gray,6,metallic,black,none,uneven,5.1,tetragonal,sedimentary,"Mn,O",95,A1,premium,"steel,batteries,dry cells",Kalahari South Africa,380,easy,moderate
83,Pyrolusite,ore,MnO2,black,6,dull,black,none,uneven,4.9,tetragonal,sedimentary,"Mn,O",72,B1,high,manganese production,Groote Eylandt Australia,290,easy,moderate
84,Pyrolusite,ore,MnO2,dark-gray,6,dull,black,none,uneven,4.6,tetragonal,sedimentary,"Mn,O",50,B3,low,manganese extraction,Brazil,200,moderate,moderate
85,Psilomelane,ore,BaMn9O18(OH),black,5.5,submetallic,brownish-black,none,uneven,4.7,monoclinic,sedimentary,"Mn,Ba,O",85,A2,premium,manganese production,Nikopol Ukraine,320,moderate,moderate
86,Psilomelane,ore,BaMn9O18(OH),dark-brown,5.5,dull,black,none,uneven,4.4,monoclinic,sedimentary,"Mn,Ba,O",62,B2,medium,manganese extraction,Gabon,220,moderate,moderate
87,Rhodochrosite (ore),ore,MnCO3,rose-red,3.5,vitreous,white,perfect,uneven,3.7,trigonal,hydrothermal,"Mn,C,O",88,A2,premium,"manganese,ornamental",Capillitas Argentina,400,moderate,low
88,Rhodochrosite (ore),ore,MnCO3,pink,3.5,vitreous,white,perfect,uneven,3.5,trigonal,hydrothermal,"Mn,C,O",65,B1,medium,manganese extraction,Colorado USA,280,moderate,low
89,Cassiterite,ore,SnO2,brown-black,6.5,adamantine,white,none,uneven,7.0,tetragonal,hydrothermal,"Sn,O",98,A1,premium,"tin production,solder,alloys",Bangka Indonesia,18000,moderate,high
90,Cassiterite,ore,SnO2,brown,6.5,adamantine,white,none,uneven,6.8,tetragonal,hydrothermal,"Sn,O",85,A2,premium,tin production,Cornwall UK,15000,moderate,high
91,Cassiterite,ore,SnO2,gray-brown,6.5,submetallic,white,none,uneven,6.5,tetragonal,hydrothermal,"Sn,O",65,B1,medium,tin extraction,Yunnan China,11000,difficult,high
92,Uraninite,ore,UO2,black,5,submetallic,black,none,uneven,10.9,cubic,hydrothermal,"U,O",92,A2,premium,"nuclear fuel,uranium production",Athabasca Canada,120000,difficult,high
93,Uraninite,ore,UO2,dark-gray,5,dull,black,none,uneven,10.5,cubic,hydrothermal,"U,O",72,B1,high,uranium extraction,Rossing Namibia,95000,very-difficult,high
94,Carnotite,ore,K2(UO2)2(VO4)2,yellow,1.5,dull,yellow,perfect,uneven,4.5,monoclinic,sedimentary,"K,U,V,O",78,A3,high,"uranium,vanadium production",Colorado Plateau USA,100000,difficult,high
95,Carnotite,ore,K2(UO2)2(VO4)2,pale-yellow,1.5,dull,yellow,perfect,uneven,4.2,monoclinic,sedimentary,"K,U,V,O",55,B2,medium,uranium extraction,Kazakhstan,75000,very-difficult,high
96,Quartz,mineral,SiO2,colorless,7,vitreous,white,none,conchoidal,2.65,trigonal,igneous,"Si,O",99,A1,premium,"glass,electronics,optics",Brazil,150,easy,low
97,Quartz,mineral,SiO2,white,7,vitreous,white,none,conchoidal,2.65,trigonal,igneous,"Si,O",90,A2,premium,glass manufacturing,Arkansas USA,100,easy,low
98,Quartz,mineral,SiO2,smoky,7,vitreous,white,none,conchoidal,2.64,trigonal,igneous,"Si,O",75,A3,high,"gemstone,decorative",Madagascar,200,moderate,low
99,Quartz,mineral,SiO2,gray,7,vitreous,white,none,conchoidal,2.62,trigonal,igneous,"Si,O",55,B2,medium,industrial filler,Germany,60,easy,low
100,Feldspar,mineral,KAlSi3O8,pink,6,vitreous,white,perfect,uneven,2.56,monoclinic,igneous,"K,Al,Si,O",88,A2,premium,"ceramics,glass,porcelain",Ontario Canada,120,easy,low
101,Feldspar,mineral,KAlSi3O8,white,6,vitreous,white,perfect,uneven,2.56,monoclinic,igneous,"K,Al,Si,O",72,B1,high,ceramics manufacturing,Norway,90,easy,low
102,Plagioclase,mineral,NaAlSi3O8,white,6,vitreous,white,perfect,uneven,2.62,triclinic,igneous,"Na,Al,Si,O",65,B1,medium,glass filler,Italy,80,easy,low
103,Muscovite Mica,mineral,KAl2(AlSi3O10)(OH)2,colorless,2.5,pearly,white,perfect,uneven,2.8,monoclinic,metamorphic,"K,Al,Si,O",92,A2,premium,"insulation,electronics,cosmetics",Rajasthan India,500,moderate,low
104,Muscovite Mica,mineral,KAl2(AlSi3O10)(OH)2,silver,2.5,pearly,white,perfect,uneven,2.8,monoclinic,metamorphic,"K,Al,Si,O",75,A3,high,electrical insulation,Minas Gerais Brazil,380,moderate,low
105,Biotite Mica,mineral,"K(Mg,Fe)3AlSi3O10(OH)2",black,2.5,pearly,white,perfect,uneven,3.0,monoclinic,igneous,"K,Mg,Fe,Al,Si,O",65,B1,medium,"ceramics,filler",Ontario Canada,200,moderate,low
106,Olivine,mineral,"(Mg,Fe)2SiO4",olive-green,6.5,vitreous,white,none,conchoidal,3.4,orthorhombic,igneous,"Mg,Fe,Si,O",82,A3,high,"refractories,abrasives,jewelry",Norway,180,moderate,low
107,Olivine,mineral,"(Mg,Fe)2SiO4",yellow-green,6.5,vitreous,white,none,conchoidal,3.3,orthorhombic,igneous,"Mg,Fe,Si,O",62,B2,medium,refractory sand,Arizona USA,120,moderate,low
108,Pyroxene,mineral,"Ca(Mg,Fe)Si2O6",black,5.5,vitreous,grayish-green,poor,uneven,3.4,monoclinic,igneous,"Ca,Mg,Fe,Si,O",78,A3,high,rock-forming mineral,Scotland UK,80,moderate,low
109,Pyroxene,mineral,"Ca(Mg,Fe)Si2O6",dark-green,5.5,vitreous,gray,poor,uneven,3.3,monoclinic,igneous,"Ca,Mg,Fe,Si,O",58,B2,medium,industrial filler,Iceland,55,moderate,low
110,Hornblende,mineral,"Ca2(Mg,Fe,Al)5Si6Al2O22(OH)2",black,5.5,vitreous,gray-green,perfect,uneven,3.2,monoclinic,metamorphic,"Ca,Mg,Fe,Al,Si,O",72,B1,high,rock-forming mineral,Canada,70,moderate,low
111,Garnet,mineral,Fe3Al2Si3O12,deep-red,7.5,vitreous,white,none,conchoidal,4.3,cubic,metamorphic,"Fe,Al,Si,O",95,A1,premium,"abrasive,gemstone,water filtration",India,800,moderate,low
112,Garnet,mineral,Fe3Al2Si3O12,red,7.5,vitreous,white,none,conchoidal,4.2,cubic,metamorphic,"Fe,Al,Si,O",78,A3,high,abrasive applications,Australia,550,moderate,low
113,Garnet,mineral,Fe3Al2Si3O12,pale-red,7.5,vitreous,white,none,conchoidal,4.0,cubic,metamorphic,"Fe,Al,Si,O",56,B2,medium,industrial abrasive,Idaho USA,350,moderate,low
114,Tourmaline,mineral,"Na(Li,Al)3Al6(BO3)3Si6O18(OH)4",pink-green,7.5,vitreous,white,none,uneven,3.1,trigonal,hydrothermal,"Na,Li,Al,B,Si,O",90,A2,premium,"jewelry,electronics,gemstone",Minas Gerais Brazil,5000,moderate,low
115,Tourmaline,mineral,"Na(Li,Al)3Al6(BO3)3Si6O18(OH)4",blue,7.5,vitreous,white,none,uneven,3.0,trigonal,hydrothermal,"Na,Li,Al,B,Si,O",70,B1,high,"decorative,gemstone",Sri Lanka,3000,difficult,low
116,Topaz,mineral,"Al2SiO4(F,OH)2",colorless,8,vitreous,white,perfect,uneven,3.5,orthorhombic,hydrothermal,"Al,Si,F,O",96,A1,premium,"gemstone,abrasive",Ouro Preto Brazil,12000,difficult,low
117,Topaz,mineral,"Al2SiO4(F,OH)2",blue,8,vitreous,white,perfect,uneven,3.5,orthorhombic,hydrothermal,"Al,Si,F,O",78,A3,high,"gemstone,jewelry",Ukraine,8000,difficult,low
118,Zircon,mineral,ZrSiO4,brown,7.5,adamantine,white,none,conchoidal,4.7,tetragonal,igneous,"Zr,Si,O",92,A2,premium,"zirconium,nuclear material,gemstone",Western Australia,2500,moderate,low
119,Zircon,mineral,ZrSiO4,colorless,7.5,adamantine,white,none,conchoidal,4.7,tetragonal,igneous,"Zr,Si,O",72,B1,high,zirconium production,Sri Lanka,1800,moderate,low
120,Calcite,mineral,CaCO3,white,3,vitreous,white,perfect,conchoidal,2.71,trigonal,sedimentary,"Ca,C,O",98,A1,premium,"cement,lime,antacid",Derbyshire UK,80,easy,low
121,Calcite,mineral,CaCO3,colorless,3,vitreous,white,perfect,conchoidal,2.71,trigonal,sedimentary,"Ca,C,O",82,A3,high,cement manufacturing,Mexico,60,easy,low
122,Calcite,mineral,CaCO3,gray,3,vitreous,white,perfect,conchoidal,2.7,trigonal,sedimentary,"Ca,C,O",62,B2,medium,industrial filler,Germany,42,easy,low
123,Dolomite,mineral,CaMg(CO3)2,white,3.5,vitreous,white,perfect,conchoidal,2.85,trigonal,sedimentary,"Ca,Mg,C,O",90,A2,premium,"cement,flux,dimension stone",Tyrol Austria,90,easy,low
124,Dolomite,mineral,CaMg(CO3)2,gray,3.5,vitreous,white,perfect,conchoidal,2.84,trigonal,sedimentary,"Ca,Mg,C,O",70,B1,high,cement production,Michigan USA,65,easy,low
125,Magnesite,mineral,MgCO3,white,3.5,vitreous,white,perfect,conchoidal,3.0,trigonal,metamorphic,"Mg,C,O",93,A2,premium,"refractories,magnesia",Styria Austria,250,moderate,low
126,Magnesite,mineral,MgCO3,gray-white,3.5,vitreous,white,perfect,conchoidal,2.95,trigonal,metamorphic,"Mg,C,O",72,B1,high,refractory materials,Greece,180,moderate,low
127,Rhodochrosite,mineral,MnCO3,rose-red,3.5,vitreous,white,perfect,uneven,3.6,trigonal,hydrothermal,"Mn,C,O",85,A2,premium,"ornamental,manganese ore",Colorado USA,600,moderate,low
128,Rhodochrosite,mineral,MnCO3,pink,3.5,vitreous,white,perfect,uneven,3.5,trigonal,hydrothermal,"Mn,C,O",62,B2,medium,decorative stone,Argentina,380,moderate,low
129,Gypsum,mineral,CaSO4·2H2O,white,2,vitreous,white,perfect,uneven,2.32,monoclinic,sedimentary,"Ca,S,O",96,A1,premium,"plaster,drywall,fertilizer",Nova Scotia Canada,35,easy,low
130,Gypsum,mineral,CaSO4·2H2O,gray,2,vitreous,white,perfect,uneven,2.3,monoclinic,sedimentary,"Ca,S,O",78,A3,high,construction materials,New Mexico USA,25,easy,low
131,Gypsum,mineral,CaSO4·2H2O,pink,2,pearly,white,perfect,uneven,2.29,monoclinic,sedimentary,"Ca,S,O",60,B2,medium,industrial gypsum,Spain,18,easy,low
132,Anhydrite,mineral,CaSO4,white,3.5,vitreous,white,perfect,uneven,2.9,orthorhombic,sedimentary,"Ca,S,O",92,A2,premium,"cement,fertilizer,sulfuric acid",Germany,45,easy,low
133,Anhydrite,mineral,CaSO4,blue-gray,3.5,vitreous,white,perfect,uneven,2.88,orthorhombic,sedimentary,"Ca,S,O",70,B1,high,cement production,Kansas USA,32,easy,low
134,Barite,mineral,BaSO4,white,3,vitreous,white,perfect,uneven,4.5,orthorhombic,hydrothermal,"Ba,S,O",97,A1,premium,"drilling mud,pigment,radiation shielding",Missouri USA,180,easy,low
135,Barite,mineral,BaSO4,blue,3,vitreous,white,perfect,uneven,4.48,orthorhombic,hydrothermal,"Ba,S,O",80,A3,high,drilling applications,Nevada USA,140,easy,low
136,Barite,mineral,BaSO4,brown,3,vitreous,white,perfect,uneven,4.4,orthorhombic,hydrothermal,"Ba,S,O",60,B2,medium,industrial filler,Germany,100,moderate,low
137,Celestite,mineral,SrSO4,blue-white,3.5,vitreous,white,perfect,uneven,3.96,orthorhombic,sedimentary,"Sr,S,O",90,A2,premium,"strontium chemicals,fireworks",Sicily Italy,600,moderate,low
